mp_code,product_name,cas_number
MP 189,Corante pó violeta,
MP 190,Óleo de soja degomado,
MP 191,Monensina,
MP 192,Penicilina Potássica,
MP 193,Mix de Glicol,
MP 194,Mix de Polyol,
MP 195,Dispermol SK,
MP 196,Base de amaciante cationica,
MP 197,Virginiamicina,
MP 198,Sebo Hidrogenado,
MP 199,Cloreto Férrico,
MP 200,Antarox 149,
MP 201,Oxitetraciclina,
MP 202,Pluracol 1010,
MP 203,Polyol Voranol,
MP 204,TRIPolifosfato de sódio TEC,
MP 205,Sulfato de Sodio Anidro,
MP 206,Sulfato de alumínio po,
MP 207,Sulfato de cobalto,
MP 208,Ácido bórico,
MP 209,Sulfato de potássio,
MP 210,Oleo Neutro Medio,
MP 211,Ácido graxo destilado de soja,
MP 212,brancol,
MP 213,essência zics,
MP 214,essência coco,
MP 215,Parafina Gapwax 45 FN,
MP 216,Poliol 36,
MP 217,Genapol PF 10,
MP 218,Wanol F 3135,
MP 219,Ácido oxálico,
MP 220,Cloreto de alumínio (art floc 20),
MP 221,Poliol 56,
MP 222,Copolimero de bloco 3237,
MP 223,Poliol 15,
MP 224,Pigmento amarelo Texnyl GL,
MP 225,Sulfato de Ferro Mono Hidratado,
MP 226,Organo Sulfuroso,
MP 227,Poliol 45,
MP 228,Cloreto de potássio,
MP 229,Eng Plus 500,
MP 230,Acido Fluossilicico,
MP 231,Betaína,
MP 232,Turfa,
MP 233,corante verde texnyl BL,
MP 234,Silicone SF 8017,
MP 235,Nionic 850,
MP 236,Acido Fosforoso,
MP 237,Corante laranja tec po,
MP 238,Polimero anionico a319xlp kemtalosep,
MP 239,Polimero glc,
MP 242,POLIOL POLIETER PPG-3010 IBC,
MP 243,Sulfanol AF-400,
MP 244,Sulfanol CSF-962R,
MP 245,Monoestearato de Glicerina,
MP 246,Pigmento Rosa RIBL,
MP 247,Acido Tricloroisocianurico 90%,
MP 248,Dispermol A,
MP 249,Unifoam SI 106 antiespumante,
MP 250,Cipermetrina po,
MP 251,Silicone RG 21 dr,
MP 252,Dioxido de Cloro,
MP 253,Enzigrex es ferm,
MP 254,Kit Mc Probac,
MP 255,Paraformaldeido 91%,
MP 256,Oleo de Neem,
MP 257,Maxfert,
MP 258,Polyol LEP 5631D,
MP 259,Lonate T DP 620 B,
MP 260,CO 6000,
MP 261,Oleo de Mamona,
MP 262,Polimero Pó catiônico C1LA,
MP 263,Enxofre Pó,
MP 264,Monensina Liquida,
MP 265,Parafina 120/125,
MP 266,Oleo mineral regenerado,
MP 267,Arla 32,
MP 268,Trieta B,
MP 269,Perlite FA 1800,
MP 270,Clarigel NG,
MP 271,Celatom FW14,
MP 272,Nitrato de Amonio,
MP 273,Glifosato Maxfert,
MP 274,Antiespumante Art Disp 507,
MP 275,Oleo Vegetal,
MP 276,Linfolan MO 400,
MP 277,Sulfonol DPG 400,
MP 278,Polimero A3xl anionico,
MP 279,Parafina emulsão,
MP 280,Cera de Polietileno,
MP 281,Cera Madeira,
MP 282,Isocer 100 VG,
MP 283,Nionic 25R2,
MP 284,Prevol AD,
MP 285,Resina Norcryl 3000 50%,
MP 286,Resina Norcryl 3050 Pedra,
MP 287,Polimero po anionico AG50,
MP 288,Polimero po cationico C20H,
MP 289,Acido Estearico Palma,
MP 290,Clorato de Sodio,
MP 291,Bissulfito de Sodio,
MP 292,Taed Branco,
MP 293,Acido Ascorbico,
MP 294,Prevol 300,
MP 295,Bioquim SS,
MP 296,Protease Acida,
MP 297,Silicone Silfoam SH,
MP 298,Polimero Anionico AG30,
MP 299,Sorbato de Potassio,
MP 300,Polimero Anionico AX90,
MP 301,Polimero Cationico C40H,
MP 302,Polimero Emulsão Anionico AR036,
MP 303,Polimero Emulsão Cationico CR020,
MP 304,Nionic 900,
MP 305,Onispuma CR 2,
MP 306,Oh tec 430 ta,
MP 307,Blend AT 200,
